id,key,value,type
4298707,cycleway,lane,regular
4298707,highway,secondary,regular
4298707,lanes,2,regular
4298707,lit,yes,regular
4298707,name,曙光路,regular
4298707,en,Shuguang Road,name
4298707,zh,曙光路,name
4298707,zh,Shǔguāng Lù,name
4298707,oneway,yes,regular
4298707,source,survey,regular
4318223,lit,yes,regular
4318223,name,北山街,regular
4318223,lanes,1,regular
4318223,source,survey,regular
4318223,highway,secondary,regular
4318223,en,Beishan Street,name
4318223,zh,北山街,name
4318223,cycleway,lane,regular
4318223,zh,Běishān Jiē,name
4326286,cycleway,lane,regular
4326286,highway,secondary,regular
4326286,lanes,1,regular
4326286,lit,yes,regular
4326286,name,河东路,regular
4326286,en,Hedong Road,name
4326286,zh,河东路,name
4326286,zh,Hédōng Lù,name
4326286,source,survey,regular
4338555,landuse,grass,regular
4348186,bridge,yes,regular
4348186,highway,primary,regular
4348186,lanes,2,regular
4348186,layer,2,regular
4348186,name,钱塘江大桥,regular
4348186,en,Qiantang River Bridge,name
4348186,oneway,no,regular
4348186,source,survey,regular
4361022,name,龙井支路,regular
4361022,highway,tertiary,regular
4361022,en,Longjingzhi Road,name
4361022,zh,龙井支路,name
4361022,zh,Lóngjǐngzhī Lù,name
4370477,cycleway,lane,regular
4370477,highway,tertiary,regular
4370477,lit,yes,regular
4370477,name,祥茂路,regular
4370477,en,Xiangmao Road,name
4370477,zh,祥茂路,name
4370477,zh,Xiángmào Lù,name
4375724,lit,yes,regular
4375724,name,朝晖路,regular
4375724,layer,1,regular
4375724,bridge,yes,regular
4375724,oneway,yes,regular
4375724,source,survey,regular
4375724,highway,primary,regular
4375724,en,Chaohui Road,name
4375724,zh,朝晖路,name
4375724,cycleway,lane,regular
4375724,zh,Cháohuī Lù,name
4375946,highway,secondary,regular
4375946,oneway,yes,regular
4377378,highway,service,regular
4377378,name,混堂巷,regular
4377378,en,Huntang Lane,name
4377378,zh,混堂巷,name
4377378,zh,h(ú|ù)ntáng Xiàng,name
4396576,highway,unclassified,regular
4398102,cycleway,lane,regular
4398102,highway,secondary,regular
4398102,lanes,2,regular
4398102,lit,yes,regular
4398102,name,解放路 Jiefang Road,regular
4398102,en,Jiefang Road,name
4398102,zh,解放路,name
4398102,zh,Jiěfàng Lù,name
4398102,oneway,yes,regular
4398102,source,survey,regular
4421775,oneway,yes,regular
4421775,highway,cycleway,regular
4438783,highway,service,regular
4441671,highway,unclassified,regular
4441671,name,莫衙营,regular
4441671,en,Moya Camp,name
4441671,zh,莫衙营,name
4441671,zh,Mòyá Yíng,name
4477352,highway,unclassified,regular
4496889,source,PGS,regular
4496889,natural,coastline,regular
4496889,created_by,almien_coastlines,regular
4496932,source,PGS,regular
4496932,natural,coastline,regular
4496932,created_by,almien_coastlines,regular
4497059,source,PGS,regular
4497059,natural,water,regular
4531338,source,PGS,regular
4531399,source,PGS,regular
4531507,source,PGS,regular
4531581,source,PGS,regular
4531622,source,PGS,regular
4531997,source,PGS,regular
4535514,source,PGS,regular
4535701,source,PGS,regular
4536466,source,PGS,regular
4546420,source,PGS,regular
4546582,source,PGS,regular
4546751,source,PGS,regular
4550743,source,PGS & Bing,regular
4550743,waterway,riverbank,regular
4552569,source,PGS,regular
4555454,source,PGS,regular
4556152,source,PGS,regular
4557363,source,PGS,regular
4557363,natural,water,regular
4558291,highway,unclassified,regular
4558291,name,学士路,regular
4558291,en,Xueshi Rd,name
4558291,zh,学士路,name
4558291,zh,Xuéshì Lù,name
4558310,highway,service,regular
4560913,source,PGS,regular
4566828,source,PGS,regular
4596383,name,中河高架,regular
4596383,layer,2,regular
4596383,bridge,yes,regular
4596383,oneway,yes,regular
4596383,highway,trunk,regular
4596383,en,Zhonghe Viaduct,name
4596383,fr,Zhonghe Surélevé,name
4596383,zh,中河高架,name
4596383,zh,Zhōnghé Gāojià,name
4721407,highway,unclassified,regular
4721407,name,头营巷,regular
4721407,oneway,no,regular
4813963,highway,service,regular
